car,year,firm_id,firm_name,division,model,segm1,Quantity,Price,wheel_base,length,width,weight,disp,hp,mpg_city,mpg_highway
1,1996,16,CHRYSLER,dodge,stratus,3,98065,14460,108,186,71.7,2899,2,132,25,31
1,1996,16,CHRYSLER,eagle,summit,1,3416,10090,96.1,171.1,56.1,2085,1.5,92,32,32
1,1996,16,CHRYSLER,eagle,talon,2,13842,14059,98.8,172.2,68.3,2789,2,140,23,27
1,1996,16,CHRYSLER,eagle,vision,3,11437,19245,113,201.6,74.4,3371,3.3,161,19,27
1,1996,18,FORD,ford,Aspire,1,37359,8790,90.7,152.8,65.7,2004,1.3,63,34,42
1,1996,18,FORD,ford,contour,2,174187,13785,106.5,183.9,69.1,2769,2,125,24,32
1,1996,18,FORD,ford,crown victoria,3,108789,20955,114.3,212,77.8,3780,4.6,190,17,26
1,1996,18,FORD,ford,escort,1,284644,10065,98.4,170,66.7,2323,1.9,88,31,29
1,1996,18,FORD,ford,mustang,1,122674,15180,101.3,181.5,71.8,3065,3.8,150,20,30
1,1996,18,FORD,ford,probe,2,32505,13930,102.8,178.7,69.8,2690,2,118,26,31
1,1996,18,FORD,ford,taurus,3,401049,17995,108.5,197.5,73,3326,3,145,20,29
1,1996,18,FORD,ford,thunderbird,4,79721,17485,113,200.3,72.7,3536,3.8,145,19,26
1,1996,3,HONDA,honda,accord,2,382298,17890,106.9,185.6,70.1,2855,2.2,130,25,31
1,1996,3,HONDA,honda,civic,1,278562,10350,103.2,175.1,67.1,2262,1.6,106,33,36
1,1996,3,HONDA,honda,prelude,1,12063,19960,100.4,174.8,69.5,2809,2.2,135,24,27
1,1996,21,HYUNDAI,hyundai,accent,1,53252,8285,94.5,161.5,63.8,2101,1.5,92,28,36
1,1996,21,HYUNDAI,hyundai,elantra,2,39809,10899,100.4,174,66.9,2458,1.8,130,24,31
1,1996,21,HYUNDAI,hyundai,sonata,2,14616,13999,106.3,185,69.7,2864,2,137,22,29
1,1996,2,NISSAN,infiniti,g20,5,13467,23800,100.4,174.8,66.7,2877,2,140,24,28
1,1996,2,NISSAN,infiniti,I30,5,27057,28420,106.3,189.6,69.7,3090,3,190,21,28
1,1996,2,NISSAN,infiniti,J30,5,7564,39920,108.7,191.3,69.7,3527,3,210,18,23
1,1996,2,NISSAN,infiniti,q45,5,5896,53520,113.2,199.8,71.9,4039,4.5,278,17,22
1,1996,22,JAGUAR,jaguar,JAGUARxj6,5,12958,61570,113,197.8,69.4,4080,4,245,18,24
1,1996,22,JAGUAR,jaguar,JAGUARxjs,5,4920,56320,102,191.2,69.4,3805,4,237,18,24
1,1996,30,KIA,kia,sephia,1,26366,9495,98.4,171.7,66.7,2476,1.8,122,25,30
1,1996,1,TOYOTA,lexus,es300,5,44773,31500,103.1,187.8,70,3374,3,188,20,29
1,1996,1,TOYOTA,lexus,gs300,5,2044,43600,109.4,194.9,70.7,3660,3,220,18,24
1,1996,1,TOYOTA,lexus,ls400,5,22237,51200,112.2,196.7,72,3650,4,260,19,26
1,1996,1,TOYOTA,lexus,SC400,5,4947,49400,105.9,191.1,70.5,3610,4,260,19,24
1,1996,18,FORD,lincoln,continental,5,35994,41800,109,206.3,73.6,3911,4.6,260,19,26
1,1996,18,FORD,lincoln,mark viii,5,15859,39650,113,207.3,74.8,3768,4.6,280,18,26
1,1996,18,FORD,lincoln,town car,5,89623,36910,117.4,218.9,76.9,4040,4.6,210,17,25
1,1996,18,FORD,lincoln mercury,cougar,4,36015,17430,113,199.9,72.7,3559,3.8,145,19,26
1,1996,18,FORD,lincoln mercury,grand marquis,4,99770,21975,114.4,211.8,77.8,3796,4.6,190,17,25
1,1996,18,FORD,lincoln mercury,mystique,2,57102,14330,106.5,183.5,69.1,2831,2,125,24,32
1,1996,18,FORD,lincoln mercury,sable,3,114164,18995,108.5,199.7,73,3388,3,145,20,29
1,1996,18,FORD,lincoln mercury,tracer,2,47797,11755,98.4,170.9,66.7,2409,1.9,88,31,29
1,1996,4,MAZDA,MAZDA,626,2,79354,15495,102.8,184.4,68.9,2749,2,114,26,31
1,1996,4,MAZDA,MAZDA,millenia,5,13019,27995,108.3,189.8,69.7,3216,2.5,170,20,28
